data2,data3,data4,data5,data6
7.4522608,26.88019972,37.5271587,25.43986958,14.49700214
18.63161337,27.36085595,18.51249541,20.18413426,6.06956982
18.46495596,9.10219036,30.85205259,7.92624639,20.97464274
9.44485902,43.2819677,17.9044394,20.34951391,20.30326754
23.16698341,20.59277822,29.89185654,16.37276168,12.59537723
9.85999838,25.22525337,32.74800064,17.75466062,10.1664766
7.42957234,17.37606964,25.23756161,29.77385835,11.7508491
9.36454462,6.23392099,9.64483315,29.30349394,13.84863558
11.37510902,16.28451142,10.43404949,18.77541579,11.07468482
7.88026752,9.04039361,18.44348824,16.57382787,10.98355422
16.97202041,16.69323216,14.72800076,11.97022091,12.69864617
13.12230693,18.14110496,15.13789757,12.58578926,9.75085756
43.36933259,13.57318842,13.94649772,7.08031324,16.35251625
13.25219931,16.18344204,21.72083881,14.12257811,20.41607569
17.19690425,36.20103274,16.10141899,28.25326178,15.44240712
8.94520154,25.93208021,25.7577095,20.58650804,6.49880858
21.28417052,16.83831145,29.10602154,21.30276818,18.74745328
18.19233779,7.59785386,9.28313449,25.77394954,21.64053327
10.6906752,18.822553,17.84511159,16.89890366,11.55432928
12.60020737,50.13070239,11.03150152,16.45064413,11.16637695
25.03169143,21.82674848,13.77687789,20.04803251,18.12823715
8.60445618,31.00090525,17.00582676,17.62720049,13.75772732
8.48115791,9.58712076,16.60867443,15.41817837,7.03330086
16.99917388,9.35259862,18.45153629,16.60495208,18.76899064
24.35156006,16.48144616,26.47396727,13.50002298,12.83207794
15.08294214,6.86361446,40.58867979,20.53277836,7.68531067
10.27561933,11.82815207,11.47143326,22.50594961,15.84274935
16.27297396,12.66499624,20.52862146,8.37677343,21.87697116
8.48819807,22.59297376,22.29128187,26.00850733,7.07549586
24.41556888,17.18903478,13.39140421,21.57921554,10.39673595
16.68205937,12.95700473,12.66210004,24.80367544,11.08971546
14.65401192,13.34915469,24.04482864,32.60779549,14.14747222
11.55131187,15.77707832,21.74399076,14.12211041,17.74505146
11.18082437,7.14581754,23.8786066,19.13160548,13.58127363
15.16933954,8.21057282,35.29039932,29.06044272,11.17367828
12.6217618,29.81671954,12.32267013,25.34689096,11.59351149
8.66975486,41.4786708,13.73314691,15.23727414,21.76577912
31.9000056,28.79087102,21.64201161,21.83826131,13.45453445
21.47593345,17.35800973,24.82941303,20.09203569,13.41455639
7.67301246,23.52880662,27.4673609,20.96109667,20.31002721
9.88795632,25.03566521,25.71115171,19.97961523,14.8936608
7.46799004,28.64143791,10.94742368,17.13759115,10.59651043
9.13153928,28.61294624,20.55768037,19.74957382,6.64342429
42.9190514,32.96907483,16.08149799,32.92170431,11.95776966
16.55303453,22.12583592,21.76813296,25.91059537,15.26960836
7.54879094,17.87372322,10.63648541,16.77701253,5.63387862
6.70832577,13.15352102,31.96513472,17.1781736,12.29624842
6.67113655,6.3138439,39.34401036,15.59815429,6.73884468
6.37399106,7.48615471,16.35425766,34.60422832,10.2640818
17.17927448,19.20636685,19.71534486,18.22430798,10.75843579
8.38852695,19.81322953,25.99478259,17.75832999,23.0222912
12.58058712,37.71145557,18.59808145,26.64030172,15.71149112
16.52121376,6.24735078,31.80932692,10.81803497,12.65739382
16.69602055,12.2007689,22.59618541,14.75330064,16.30107432
28.19502529,25.27010148,12.07935306,10.87454139,16.48537229
6.79683365,10.79821193,29.39475425,15.97206052,13.82020231
16.34382483,22.2586048,13.14496785,10.33463968,11.84244013
23.65300455,11.86355671,21.30621709,18.66937395,15.01349517
17.72535855,23.70516419,13.71038861,24.23281945,18.07927359
10.12184559,48.24820815,33.21257103,25.49664741,16.19401473
20.23734222,24.78556924,20.21370058,15.19333172,15.9655163
13.78364353,25.34352478,13.9875779,21.61688632,16.0735325
16.65272243,43.38409658,17.67128917,7.96918903,7.45803134
12.24960396,30.31668165,12.59561775,11.09670944,18.47456026
43.51402193,24.49046003,15.21881222,14.93031396,24.2318448
8.33811863,17.3109964,13.4503149,11.0795965,12.3650472
10.37731163,20.04025842,21.70407401,19.62872509,16.82358752
17.13917852,15.50315531,25.16796907,25.24195211,9.3568165
12.09906033,18.15285123,30.49634968,32.4033098,15.34875443
20.09392395,37.62161338,36.35299654,9.57247577,13.47472466
41.28476001,19.00577147,13.04022681,13.3413913,15.91593285
9.80173033,14.7234433,11.79807272,28.24673926,12.17630789
9.44763773,17.55829498,23.00948964,27.09385217,15.87115737
28.04333114,16.72474047,17.90828079,18.57854757,22.9644816
18.64222465,7.35218628,27.9277817,10.06207323,14.41833623
24.75265621,32.92644066,15.01501841,33.04202094,21.20775397
11.59176858,8.14181678,19.21257061,7.55444413,11.49861936
8.99214177,13.52594654,23.01513321,21.84708538,15.76524986
50.59678567,16.52325757,8.97244165,16.32906434,18.26701131
6.9959991,32.75371792,10.7298513,17.18938696,22.66289763
7.3690495,35.16270114,23.3776959,22.39609405,15.34872538
12.65560901,25.17511915,23.57356454,16.53002666,9.10306731
16.82414505,12.27476787,27.5508375,25.30841653,12.86469243
24.5178294,15.51920872,21.15078653,24.70582276,12.31659409
20.26306764,29.42025651,19.07430069,34.99695819,11.64744749
9.48815901,11.67078105,22.1482189,32.03337062,12.50807739
20.13769953,25.10712098,24.19162651,13.8901763,18.67400067
10.19497741,18.81876401,14.06586649,11.01728402,20.43941857
26.26508917,16.18714187,13.99777539,16.54768731,15.996776
15.7123057,15.02379179,10.43683298,19.75415619,10.16911476
25.13700582,37.48931653,11.99892753,21.57455379,15.95937645
14.71682787,40.95108957,19.70230164,20.43014408,8.70345848
27.69872528,23.41291816,26.41257214,25.43417138,12.27652671
12.84296766,29.32097054,15.95341346,23.17486093,19.21301869
21.5891466,23.82536686,11.03489799,11.173228,13.9556044
25.02265203,25.3478249,24.21729927,17.48920759,17.88506217
28.21187006,12.46732357,36.94244979,27.1232317,12.49514344
25.20334316,17.45196278,27.61289874,25.70149429,19.32961934
7.41117261,12.96112718,19.14881323,11.02276626,14.14347097
34.89218459,10.54135992,27.07485181,29.37764183,15.85525536
20.80256216,29.50384523,35.38251608,19.93812028,18.61240838
7.10962608,12.47320744,26.56707639,22.66309523,20.90161893
8.60872809,30.64792494,12.18001454,14.06456255,9.86333158
24.33623916,20.62904941,20.16776073,17.73693,12.82190974
8.516631,7.55188559,21.07427083,22.29137994,12.42361268
27.74272103,30.8072821,12.04756939,27.75092826,16.96226825
41.56972745,13.45220764,11.83872435,18.94581324,11.02145247
17.83593683,26.68785612,22.81347249,23.48010872,12.11338037
11.56896827,19.18968726,13.41293894,9.80586221,15.6570652
9.04061789,10.69176572,36.60756959,15.77326963,8.27557878
22.2780032,25.34568133,28.78245898,27.4036431,15.90456853
7.34041051,8.34670086,23.99258788,10.83662575,16.02908227
9.09633013,31.53433839,30.65547191,8.89526071,15.97833278
41.14984578,20.72105946,15.72133225,16.09321873,8.17101827
11.6126539,21.08020537,18.82547343,6.28377757,11.87397811
7.71975883,26.05217721,19.76579716,17.80591528,10.26699868
29.60073313,25.17733522,43.56107116,16.69032996,21.13529673
23.92127857,29.50637705,31.59902414,10.72100307,11.06527496
16.31919378,41.2730478,52.43189417,16.5623864,10.5572829
30.43062803,20.07394534,24.39657601,12.53162038,13.21937855
15.89468278,19.14330584,13.29828008,15.30711048,9.15997213
20.40289033,14.05672356,13.1560994,16.22792251,15.29707648
15.13091238,18.58633874,14.54184591,17.38973384,11.26346468
