num_qubits,tickers,"s1, s2",kappa_opt,kappa_original
10,"['CMCSA', 'DLTR', 'SBUX', 'AVGO', 'MCHP', 'DDOG', 'ADSK', 'ADP', 'IDXX', 'JD']",[-0.09404833  0.00020266 -0.00287527],60.67509844932144,35377.507892953676
10,"['FANG', 'CSCO', 'CTSH', 'LRCX', 'ZM', 'IDXX', 'ISRG', 'LCID', 'DDOG', 'WBD']",[ 0.08802353  0.00033862 -0.00152373],43.28078609357719,18784.711538740354
10,"['SBUX', 'ODFL', 'LCID', 'GOOG', 'DDOG', 'ZS', 'MDLZ', 'ADBE', 'DLTR', 'ATVI']",[-1.58640063e-01  3.39985479e-04  1.19961528e-04],57.539951488189764,25861.191042198137
10,"['PYPL', 'BKR', 'ADSK', 'PANW', 'FANG', 'ASML', 'MELI', 'EXC', 'GOOG', 'INTC']",[ 0.09670282 -0.00022166 -0.00378425],33.030407288693084,18165.162657851502
10,"['IDXX', 'CHTR', 'COST', 'CTAS', 'DDOG', 'MRNA', 'ISRG', 'CDNS', 'ODFL', 'ADSK']",[ 0.24496598 -0.00025486 -0.00187898],59.12363532511933,30655.2249289993
10,"['KLAC', 'PDD', 'CPRT', 'MRVL', 'PANW', 'CHTR', 'EXC', 'WBA', 'EA', 'AMZN']",[ 3.02174082e-01 -1.51161896e-04 -1.74713413e-03],48.36699767780067,25088.383914071543
10,"['KHC', 'SNPS', 'NVDA', 'ANSS', 'CHTR', 'IDXX', 'CTSH', 'PANW', 'XEL', 'ADSK']",[1.72903314e-01 1.26816055e-04 7.30433732e-04],48.641186603403156,31817.499680191802
10,"['TXN', 'WBA', 'LCID', 'DLTR', 'CSX', 'AMGN', 'ALGN', 'AVGO', 'QCOM', 'ADBE']",[ 0.0522086  -0.00012582 -0.0017362 ],64.84513938795631,43455.57465844999
10,"['DXCM', 'MRVL', 'BIIB', 'CMCSA', 'MAR', 'ASML', 'ENPH', 'AAPL', 'QCOM', 'SNPS']",[ 0.12675694 -0.00020566 -0.00291958],43.91736525325322,22661.807778170823
10,"['PDD', 'ALGN', 'SBUX', 'PCAR', 'TEAM', 'TSLA', 'MNST', 'EBAY', 'MSFT', 'RIVN']",[ 0.06904847  0.00019547 -0.00165913],68.40817244973583,24531.55882130978
11,"['FAST', 'BIIB', 'XEL', 'COST', 'MRVL', 'META', 'WBD', 'JD', 'ADI', 'VRSK', 'SBUX']",[ 0.06589521  0.00013362 -0.00236532],56.2041252122668,36601.60776967016
11,"['MNST', 'GOOGL', 'SGEN', 'ALGN', 'CSX', 'FTNT', 'CTSH', 'BKNG', 'EXC', 'WBD', 'XEL']",[ 0.06045895 -0.00011159 -0.00216319],84.97887267202557,70522.08207270864
11,"['CMCSA', 'CRWD', 'ALGN', 'VRTX', 'CTAS', 'AAPL', 'SNPS', 'CSCO', 'COST', 'TMUS', 'CSGP']",[ 1.26740846e-01  1.20287807e-04 -2.43687868e-03],56.73763871537617,44192.94295218531
11,"['FAST', 'MRVL', 'AAPL', 'BKNG', 'AZN', 'CSCO', 'PCAR', 'KHC', 'KLAC', 'CSGP', 'AVGO']",[ 0.0945821  -0.00012945 -0.00100288],45.66072450317062,35077.94790412447
11,"['MCHP', 'MAR', 'ODFL', 'GOOG', 'MNST', 'HON', 'AAPL', 'DDOG', 'MU', 'GOOGL', 'AMGN']",[-3.90093291e-02 -1.38022744e-05 -2.92449851e-03],4027.339451978937,2624192.978893898
11,"['WBD', 'ORLY', 'SBUX', 'MCHP', 'ISRG', 'ANSS', 'ILMN', 'ADI', 'AVGO', 'AMD', 'PYPL']",[ 0.0655032  -0.00022997 -0.00109606],112.74754653543916,59363.78803415992
11,"['SGEN', 'GOOG', 'ZS', 'PANW', 'MRVL', 'ADSK', 'MDLZ', 'GILD', 'QCOM', 'REGN', 'ALGN']",[ 0.07535278  0.00024775 -0.00109188],60.016685621908636,30844.112904737347
