num_qubits,tickers,"s1, s2",kappa
7,"['MCHP', 'MAR', 'SBUX', 'LULU', 'ROST', 'ABNB', 'CTAS']",[ 0.18808575 -0.00022857 -0.00235314],30.163035954869695
7,"['PEP', 'ILMN', 'CRWD', 'JD', 'VRTX', 'LULU', 'AAPL']",[-0.13707884  0.00035823 -0.00285761],32.28283119194921
7,"['DDOG', 'LCID', 'PDD', 'CHTR', 'HON', 'FTNT', 'IDXX']",[ 3.06776508e-01  6.07822304e-04 -2.66388868e-04],27.560018747910878
7,"['MRNA', 'ABNB', 'NXPI', 'MSFT', 'GOOG', 'PEP', 'WBD']",[ 0.08392906  0.00015355 -0.00115667],52.957514492257076
7,"['FTNT', 'AMGN', 'MRVL', 'CTAS', 'AAPL', 'NVDA', 'INTU']",[ 0.18466729 -0.00019376 -0.00182428],50.37429725035333
7,"['ABNB', 'QCOM', 'PCAR', 'ANSS', 'COST', 'TEAM', 'ADI']",[ 0.1708741  -0.00019735 -0.00166897],44.87668182815695
7,"['ZM', 'MRVL', 'CSCO', 'FAST', 'LCID', 'MELI', 'EBAY']",[-0.10351753  0.00025979 -0.00046943],49.828608204539016
7,"['AMAT', 'MCHP', 'BIIB', 'CTSH', 'KLAC', 'NVDA', 'ISRG']",[ 1.93245426e-01  1.82921814e-04 -5.54832804e-04],59.87159995216112
7,"['AMAT', 'WDAY', 'ALGN', 'PYPL', 'DDOG', 'MSFT', 'HON']",[-0.13748251  0.00020061 -0.00095234],43.39451463842894
7,"['GOOGL', 'ADBE', 'ALGN', 'PCAR', 'ASML', 'CRWD', 'ORLY']",[ 0.08751513  0.00021566 -0.00213064],30.62132323161476
7,"['META', 'EXC', 'COST', 'PYPL', 'AEP', 'FAST', 'MCHP']",[ 8.52299597e-02  9.70590345e-05 -2.25959636e-03],68.95589405549651
7,"['COST', 'CSCO', 'RIVN', 'CSX', 'KDP', 'NVDA', 'ADP']",[-0.09692517  0.00024552 -0.00122806],40.251322338590064
7,"['HON', 'CPRT', 'ZS', 'MCHP', 'ADP', 'ZM', 'GILD']",[ 0.10492448 -0.00019571 -0.0019496 ],43.4568998570909
